the grape,https://commons.wikimedia.org/wiki/File:Common_Muscadine_grape_RHS.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/26/Common_Muscadine_grape_RHS.jpeg
saffron,https://commons.wikimedia.org/wiki/File:Crocus_Sativus_-_Zaffrano_domestico_-_Saffron._(saffron_crocus;_field_crocus)_(NYPL_b14444147-1130719).tiff,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Crocus_Sativus_-_Zaffrano_domestico_-_Saffron._%28saffron_crocus%3B_field_crocus%29_%28NYPL_b14444147-1130719%29.tiff/lossy-page1-1521px-Crocus_Sativus_-_Zaffrano_domestico_-_Saffron._%28saffron_crocus%3B_field_crocus%29_%28NYPL_b14444147-1130719%29.tiff.jpg
the chestnut,https://commons.wikimedia.org/wiki/File:Fig._1._Quercus_tinctoria_-_Ch%C3%A9ne_Quercitron._Fig._2._Quercus_montana_-_Ch%C3%A9ne_de_montagne._(Black_Oak_or_Quercitron_Bark_-_Rock_Chestnut_Oak)_(NYPL_b14485031-1110843).tiff,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Fig._1._Quercus_tinctoria_-_Ch%C3%A9ne_Quercitron._Fig._2._Quercus_montana_-_Ch%C3%A9ne_de_montagne._%28Black_Oak_or_Quercitron_Bark_-_Rock_Chestnut_Oak%29_%28NYPL_b14485031-1110843%29.tiff/lossy-page1-1273px-thumbnail.tiff.jpg
the autumn crocus,"https://commons.wikimedia.org/wiki/File:Colochicum_multiflorum_fl._Dilute_rubentium_-_Colchico_conpiu_fiori_-_Colchique._(autumn_crocus;_fall_crocus;_naked_ladies,_Meadow_saffron)_(NYPL_b14444147-1130717).tiff",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Colochicum_multiflorum_fl._Dilute_rubentium_-_Colchico_conpiu_fiori_-_Colchique._%28autumn_crocus%3B_fall_crocus%3B_naked_ladies%2C_Meadow_saffron%29_%28NYPL_b14444147-1130717%29.tiff/lossy-page1-777px-thumbnail.tiff.jpg
the horse,https://commons.wikimedia.org/wiki/File:Illustration_of_two_horses_and_a_pony_from_Sporting_Sketches_(1817-1818)_by_Henry_Alken_(1784-1851).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Illustration_of_two_horses_and_a_pony_from_Sporting_Sketches_%281817-1818%29_by_Henry_Alken_%281784-1851%29.jpg
impatiens,https://commons.wikimedia.org/wiki/File:Impatiens_Jerdoniae.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Impatiens_Jerdoniae.jpg/1311px-Impatiens_Jerdoniae.jpg
the carrot,,
amaranth,,
the parsnip,,
the vat,,
the potato,,
the strawflower,,
the winter squash,,
the mignonette,,
the donkey,,
the four o'clock flower,,
the pumpkin,,
buckwheat,,
the sunflower,,
the winepress,,
hemp,,
the peach,,
the turnip,,
the amaryllis,,
the ox,,
the eggplant,,
the chili pepper,,
the tomato,,
barley,,
the barrel,,
the apple,,
celery,,
the pear,,
the beetroot,,
the goose,,
the heliotrope,,
the fig,,
black salsify,,
the chequer tree,,
the plow,,
the common salsify,,
the water caltrop,,
the Jerusalem artichoke,,
the endive,,
the turkey,,
skirret,,
watercress,,
leadwort,,
the pomegranate,,
the harrow,,
baccharis,,
azarole,,
madder,,
the orange,,
the pheasant,,
the pistachio,,
the tuberous pea,,
the quince,,
the service tree,,
the roller,,
the rampion,,
the cattle turnip,,
chicory,,
the medlar,,
the pig,,
lamb's lettuce,,
cauliflower,,
honey,,
juniper,,
the pickaxe,,
wax,,
horseradish,,
the cedar tree,,
the fir,,
the roe deer,,
gorse,,
the cypress tree,,
ivy,,
the savin juniper,,
the grub hoe,,
the sugar maple,,
heather,,
the common reed,,
sorrel,,
the cricket,,
the pine nut,,
cork,,
the truffle,,
the olive,,
the shovel,,
peat,,
coal,,
bitumen,,
sulphur,,
the dog,,
lava,,
topsoil,,
manure,,
saltpeter,,
the flail,,
granite,,
clay,,
slate,,
sandstone,,
the rabbit,,
flint,,
marl,,
limestone,,
marble,,
the winnowing fan,,
gypsum,,
salt,,
iron,,
copper,,
the cat,,
tin,,
lead,,
zinc,,
mercury,,
the sieve,,
the spurge-laurel,,
moss,,
butcher's broom,,
the snowdrop,,
the bull,,
the laurustinus,,
tinder polypore,,
mezereum,,
the poplar,,
the axe,,
hellebore,,
broccoli,,
bay laurel,,
the filbert,,
the cow,,
the box tree,,
the lichen,,
the yew tree,,
lungwort,,
the billhook,,
pennycress,,
the rose daphne,,
couch grass,,
common knotgrass,,
the hare,,
woad,,
hazel,,
cyclamen,,
celandine,,
the sleigh,,
coltsfoot,,
the dogwood,,
matthiola,,
privet,,
the billygoat,,
wild ginger,,
Italian buckthorn,,
the violet,,
goat willow,,
the spade,,
the narcissus,,
the elm,,
the common fumitory,,
the hedge mustard,,
the goat,,
spinach,,
doronicum,,
the pimpernel,,
chervil,,
twine,,
the mandrake,,
parsley,,
scurvy-grass,,
the daisy,,
the tuna,,
the dandelion,,
the wood anemone,,
the maidenhair fern,,
the ash tree,,
the dibber,,
primrose,,
the plane tree,,
asparagus,,
the tulip,,
the hen,,
chard,,
the birch tree,,
the daffodil,,
the alder tree,,
the incubator,,
the periwinkle,,
the hornbeam,,
the morel,,
the beech tree,,
the bee,,
the lettuce,,
the larch,,
hemlock,,
the radish,,
the beehive,,
the Judas tree,,
Romaine lettuce,,
the horse chestnut,,
arugala,,
the pigeon,,
the lilac,,
the anemone,,
the pansy,,
the bilberry,,
the grafting knife,,
the rose,,
the oak tree,,
the fern,,
the hawthorn,,
the nightingale,,
the common columbine,,
the lily of the valley,,
the button mushroom,,
the hyacinth,,
the rake,,
the rhubarb,,
the sainfoin,,
the wallflower,,
the fan palm,,
the silkworm,,
comfrey,,
the salad burnet,,
basket-of-gold,,
orache,,
the weeding hoe,,
the sea thrift,,
the fritillary,,
borage,,
valerian,,
the carp,,
the spindle,,
the chive,,
bugloss,https://commons.wikimedia.org/wiki/File:226_Lycopsis_arvensis_L.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/226_Lycopsis_arvensis_L.jpg
white mustard,,
the shepherd's crook,,
alfalfa,,
the daylily,,
clover,,
angelica,,
the duck,,
lemon balm,,
oat grass,,
the martagon lily,,
wild thyme,,
the scythe,,
the strawberry,,
betony,,
the pea,,
the acacia,,
the quail,,
the carnation,,
the elderberry,,
the poppy,,
the linden tree,,
the pitchfork,,
cornflower,,
camomile,,
honeysuckle,,
bedstraw,,
the tench,,
jasmine,,
vervain,,
thyme,,
the peony,,
the handcart,,
rye,,
the oat,,
the onion,,
the speedwell,,
the mule,,
rosemary,,
the cucumber,,
the shallot,,
the wormwood,,
the sickle,,
coriander,,
the artichoke,,
the clove,,
lavender,,
the chamois,,
tobacco,,
the redcurrant,,
the hairy vetchling,,
the cherry,,
the livestock pen,,
mint,,
cumin,https://commons.wikimedia.org/wiki/File:Cuminoides_vulgare_-_Lagoecia_-_Cimio_-_Le_Cumin._(Wild_Cumin)_(NYPL_b14444147-1130618).tiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Cuminoides_vulgare_-_Lagoecia_-_Cimio_-_Le_Cumin._%28Wild_Cumin%29_%28NYPL_b14444147-1130618%29.tiff/lossy-page1-759px-Cuminoides_vulgare_-_Lagoecia_-_Cimio_-_Le_Cumin._%28Wild_Cumin%29_%28NYPL_b14444147-1130618%29.tiff.jpg
the bean,"https://commons.wikimedia.org/wiki/File:Phaseolus_Indicus,_maximus_siliqua_erecta_-_Fagioli_grossi_-_Haricot._(Indian_kidney_bean)_(NYPL_b14444147-1130809).tiff",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Phaseolus_Indicus%2C_maximus_siliqua_erecta_-_Fagioli_grossi_-_Haricot._%28Indian_kidney_bean%29_%28NYPL_b14444147-1130809%29.tiff/lossy-page1-773px-Phaseolus_Indicus%2C_maximus_siliqua_erecta_-_Fagioli_grossi_-_Haricot._%28Indian_kidney_bean%29_%28NYPL_b14444147-1130809%29.tiff.jpg
the alkanet,https://commons.wikimedia.org/wiki/File:Emily_Stackhouse_-_Ever_Green_Alkanet_-_Anchusa_Semperviren.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/29/Emily_Stackhouse_-_Ever_Green_Alkanet_-_Anchusa_Semperviren.jpeg
the guineafowl,,
sage,,
garlic,,
the common vetch,,
wheat,,
the shawm,,
spelt,,
the common mullein,,
the melon,,
ryegrass,,
the ram,,
horsetail,,
mugwort,,
the safflower,,
the blackberry,,
the watering can,,
foxtail millet,,
the common glasswort,,
the apricot,,
basil,,
the ewe,,
the marshmallow,,
flax,,
the almond,,
the gentian,,
the lock,,
the carline thistle,,
the caper,,
the lentil,,
the inula,,
the otter,,
myrtle,,
rapeseed,,
lupin,,
cotton,,
the mill,,
the plum,,
millet,,
the puffball,,
six-row barley,,
the salmon,,
the tuberose,,
winter barley,,
apocynum,,
liquorice,,
the ladder,,
the watermelon,,
fennel,,
the common barberry,,
the walnut,,
the trout,,
the lemon,,
teasel,,
the buckthorn,,
the marigold,,
the harvest basket,,
the wild rose,,
the hazelnut,,
hops,,
sorghum,,
the crayfish,,
the bitter orange,,
goldenrod,,
maize,,
the sweet chestnut,,
the pack basket,,